Origin,Destination,Hour,Travel_Time_min,Toll_AED,Gate_Count
JLT,BusinessBay,18,14.29890456961245,12,2
JLT,BusinessBay,18,14.782476363371844,12,2
JLT,BusinessBay,18,14.802401731775435,12,2
JLT,BusinessBay,18,14.803187149375393,12,2
JLT,DXB,8,25.308808684755338,24,4
JLT,DXB,8,25.316064532741148,24,4
JLT,DXB,8,25.324618305352796,24,4
JLT,DXB,8,25.327542574293986,24,4
JLT,DXB,8,25.328536652015,24,4
JLT,DXB,8,25.331874153338607,24,4
JLT,DXB,8,25.333804984909474,24,4
JLT,DXB,8,25.334798422279793,24,4
JLT,DXB,8,26.573846484150042,24,4
JLT,DXB,8,26.55511259461139,24,4
JLT,DXB,8,27.07734364631302,24,4
JLT,DXB,8,27.058609756774374,24,4
JLT,DXB,8,27.078129063912982,24,4
JLT,DXB,8,26.818150920064753,24,4
JLT,DXB,8,27.059395174374334,24,4
JLT,DXB,8,26.799417030526104,24,4
JLT,DXB,14,25.308808684755338,16,4
JLT,DXB,14,25.316064532741148,16,4
JLT,DXB,14,25.324618305352796,16,4
JLT,DXB,14,25.327542574293986,16,4
JLT,DXB,14,25.328536652015,16,4
JLT,DXB,14,25.331874153338607,16,4
JLT,DXB,14,25.333804984909474,16,4
JLT,DXB,14,25.334798422279793,16,4
JLT,DXB,14,26.573846484150042,16,4
JLT,DXB,14,26.55511259461139,16,4
JLT,DXB,14,27.07734364631302,16,4
JLT,DXB,14,27.058609756774374,16,4
JLT,DXB,14,27.078129063912982,16,4
JLT,DXB,14,26.818150920064753,16,4
JLT,DXB,14,27.059395174374334,16,4
JLT,DXB,14,26.799417030526104,16,4
JLT,DXB,18,25.308808684755338,24,4
JLT,DXB,18,25.316064532741148,24,4
JLT,DXB,18,25.324618305352796,24,4
JLT,DXB,18,25.327542574293986,24,4
JLT,DXB,18,25.328536652015,24,4
JLT,DXB,18,25.331874153338607,24,4
JLT,DXB,18,25.333804984909474,24,4
JLT,DXB,18,25.334798422279793,24,4
JLT,DXB,18,26.573846484150042,24,4
JLT,DXB,18,26.55511259461139,24,4
JLT,DXB,18,27.07734364631302,24,4
JLT,DXB,18,27.058609756774374,24,4
JLT,DXB,18,27.078129063912982,24,4
JLT,DXB,18,26.818150920064753,24,4
JLT,DXB,18,27.059395174374334,24,4
JLT,DXB,18,26.799417030526104,24,4
JLT,Mirdif,8,27.683583890180266,24,4
JLT,Mirdif,8,27.699393510777725,24,4
JLT,Mirdif,8,27.707383742566478,24,4
JLT,Mirdif,8,27.723193363163936,24,4
JLT,Mirdif,8,27.723208032421574,24,4
JLT,Mirdif,8,27.731754263707593,24,4
JLT,Mirdif,8,27.740208306094914,24,4
JLT,Mirdif,8,27.747007884807786,24,4
JLT,Mirdif,8,28.052339237634857,24,4
JLT,Mirdif,8,28.55583639979784,24,4
JLT,Mirdif,8,28.5566218173978,24,4
JLT,Mirdif,8,28.29664367354957,24,4
JLT,Mirdif,8,28.12616170137618,24,4
JLT,Mirdif,8,29.060118979560784,24,4
JLT,Mirdif,8,28.79370383063421,24,4
JLT,Mirdif,8,29.27727562439361,24,4
JLT,Mirdif,14,27.683583890180266,16,4
JLT,Mirdif,14,27.699393510777725,16,4
JLT,Mirdif,14,27.707383742566478,16,4
JLT,Mirdif,14,27.723193363163936,16,4
JLT,Mirdif,14,27.723208032421574,16,4
JLT,Mirdif,14,27.731754263707593,16,4
JLT,Mirdif,14,27.740208306094914,16,4
JLT,Mirdif,14,27.747007884807786,16,4
JLT,Mirdif,14,28.052339237634857,16,4
JLT,Mirdif,14,28.55583639979784,16,4
JLT,Mirdif,14,28.5566218173978,16,4
JLT,Mirdif,14,28.29664367354957,16,4
JLT,Mirdif,14,28.12616170137618,16,4
JLT,Mirdif,14,29.060118979560784,16,4
JLT,Mirdif,14,28.79370383063421,16,4
JLT,Mirdif,14,29.27727562439361,16,4
JLT,Mirdif,18,27.683583890180266,24,4
JLT,Mirdif,18,27.699393510777725,24,4
JLT,Mirdif,18,27.707383742566478,24,4
JLT,Mirdif,18,27.723193363163936,24,4
JLT,Mirdif,18,27.723208032421574,24,4
JLT,Mirdif,18,27.731754263707593,24,4
JLT,Mirdif,18,27.740208306094914,24,4
JLT,Mirdif,18,27.747007884807786,24,4
JLT,Mirdif,18,28.052339237634857,24,4
JLT,Mirdif,18,28.55583639979784,24,4
JLT,Mirdif,18,28.5566218173978,24,4
JLT,Mirdif,18,28.29664367354957,24,4
JLT,Mirdif,18,28.12616170137618,24,4
JLT,Mirdif,18,29.060118979560784,24,4
JLT,Mirdif,18,28.79370383063421,24,4
JLT,Mirdif,18,29.27727562439361,24,4
JLT,Qusais,8,25.576688932875772,24,4
JLT,Qusais,8,25.584245290794012,24,4
JLT,Qusais,8,25.586890263438885,24,4
JLT,Qusais,8,25.59249855347323,24,4
JLT,Qusais,8,25.594446621357125,24,4
JLT,Qusais,8,25.60005491139147,24,4
JLT,Qusais,8,25.601685233029908,24,4
JLT,Qusais,8,25.602699884036344,24,4
JLT,Qusais,8,26.540234181892103,24,4
JLT,Qusais,8,26.521500292353455,24,4
JLT,Qusais,8,27.043731344055082,24,4
JLT,Qusais,8,27.024997454516438,24,4
JLT,Qusais,8,27.044516761655043,24,4
JLT,Qusais,8,26.784538617806813,24,4
JLT,Qusais,8,27.025782872116398,24,4
JLT,Qusais,8,26.54770929146555,24,4
JLT,Qusais,14,25.576688932875772,16,4
JLT,Qusais,14,25.584245290794012,16,4
JLT,Qusais,14,25.586890263438885,16,4
JLT,Qusais,14,25.59249855347323,16,4
JLT,Qusais,14,25.594446621357125,16,4
JLT,Qusais,14,25.60005491139147,16,4
JLT,Qusais,14,25.601685233029908,16,4
JLT,Qusais,14,25.602699884036344,16,4
JLT,Qusais,14,26.540234181892103,16,4
JLT,Qusais,14,26.521500292353455,16,4
JLT,Qusais,14,27.043731344055082,16,4
JLT,Qusais,14,27.024997454516438,16,4
JLT,Qusais,14,27.044516761655043,16,4
JLT,Qusais,14,26.784538617806813,16,4
JLT,Qusais,14,27.025782872116398,16,4
JLT,Qusais,14,26.54770929146555,16,4
JLT,Qusais,18,25.576688932875772,24,4
JLT,Qusais,18,25.584245290794012,24,4
JLT,Qusais,18,25.586890263438885,24,4
JLT,Qusais,18,25.59249855347323,24,4
JLT,Qusais,18,25.594446621357125,24,4
JLT,Qusais,18,25.60005491139147,24,4
JLT,Qusais,18,25.601685233029908,24,4
JLT,Qusais,18,25.602699884036344,24,4
JLT,Qusais,18,26.540234181892103,24,4
JLT,Qusais,18,26.521500292353455,24,4
JLT,Qusais,18,27.043731344055082,24,4
JLT,Qusais,18,27.024997454516438,24,4
JLT,Qusais,18,27.044516761655043,24,4
JLT,Qusais,18,26.784538617806813,24,4
JLT,Qusais,18,27.025782872116398,24,4
JLT,Qusais,18,26.54770929146555,24,4
JLT,Deira,8,22.5549898938147,24,4
JLT,Deira,8,22.57079951441216,24,4
JLT,Deira,8,22.594614036056008,24,4
JLT,Deira,8,22.599918706676227,24,4
JLT,Deira,8,22.603160267342027,24,4
JLT,Deira,8,22.60320126404358,24,4
JLT,Deira,8,22.603256681002794,24,4
JLT,Deira,8,22.604728839338573,24,4
JLT,Deira,8,28.95705634391266,0,0
JLT,Deira,8,29.431002584738923,0,0
JLT,Deira,8,29.171502609547755,0,0
JLT,Deira,8,29.65675856319042,0,0
JLT,Deira,8,29.15678672945362,0,0
JLT,Deira,8,29.173778852597124,0,0
JLT,Deira,8,29.948273341185686,0,0
JLT,Deira,8,29.645448850374017,0,0
JLT,Deira,14,22.5549898938147,16,4
JLT,Deira,14,22.57079951441216,16,4
JLT,Deira,14,22.594614036056008,16,4
JLT,Deira,14,22.599918706676227,16,4
JLT,Deira,14,22.603160267342027,16,4
JLT,Deira,14,22.60320126404358,16,4
JLT,Deira,14,22.603256681002794,16,4
JLT,Deira,14,22.604728839338573,16,4
JLT,Deira,14,28.95705634391266,0,0
JLT,Deira,14,29.431002584738923,0,0
JLT,Deira,14,29.171502609547755,0,0
JLT,Deira,14,29.65675856319042,0,0
JLT,Deira,14,29.15678672945362,0,0
JLT,Deira,14,29.173778852597124,0,0
JLT,Deira,14,29.948273341185686,0,0
JLT,Deira,14,29.645448850374017,0,0
JLT,Deira,18,22.5549898938147,24,4
JLT,Deira,18,22.57079951441216,24,4
JLT,Deira,18,22.594614036056008,24,4
JLT,Deira,18,22.599918706676227,24,4
JLT,Deira,18,22.603160267342027,24,4
JLT,Deira,18,22.60320126404358,24,4
JLT,Deira,18,22.603256681002794,24,4
JLT,Deira,18,22.604728839338573,24,4
JLT,Deira,18,28.95705634391266,0,0
JLT,Deira,18,29.431002584738923,0,0
JLT,Deira,18,29.171502609547755,0,0
JLT,Deira,18,29.65675856319042,0,0
JLT,Deira,18,29.15678672945362,0,0
JLT,Deira,18,29.173778852597124,0,0
JLT,Deira,18,29.948273341185686,0,0
